Custom Table Report,,,,,,,UNOFFICIAL RESULTS
State & Federal Primary and County General,,,,,,,
"August 6, 2026",,,,,,,Hamilton
,,STATISTICS,,,,,
,,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General,
,AIRPORT A,446,93,20,65,8,
,AIRPORT B,"1,290",319,122,194,3,
,ALTON PARK,"1,917",478,29,430,19,
,APISON A,"1,887",481,396,74,11,
,APISON B,"2,630",534,369,146,19,
,AVONDALE,"1,265",268,9,256,3,
,BIRCHWOOD,"2,195",587,495,79,13,
,BONNY OAKS,"2,266",664,84,562,18,
,BRAINERD,"1,972",690,227,441,22,
,BRAINERD HILLS,"1,908",429,156,257,16,
,BUSHTOWN,"2,127",565,40,509,16,
,COLLEGEDALE A,"2,016",370,206,158,6,
,COLLEGEDALE B,"1,042",339,262,76,1,
,CONCORD A,"1,737",391,154,224,13,
,CONCORD B,"3,048",720,361,339,20,
,COURTHOUSE,"1,428",279,50,215,14,
,DALEWOOD,"2,108",617,31,566,20,
,DALLAS,"3,647","1,064",758,282,24,
,DOWNTOWN,"2,568",508,148,334,26,
,DUPONT,"2,929",923,535,369,19,
,EAST BRAINERD A,"3,242",800,470,306,24,
,EAST BRAINERD B,"4,612","1,145",683,433,29,
,EAST CHATTANOOGA,"1,699",451,34,397,20,
,EAST LAKE,"1,395",292,78,205,9,
,EAST RIDGE A,"3,261",991,496,451,44,
,EAST RIDGE B,"3,370","1,081",502,552,27,
,EAST RIDGE C,"1,476",371,183,178,10,
,EAST RIDGE D,"2,888",703,407,280,16,
,EASTGATE,"1,975",604,89,499,16,
,EASTSIDE,"2,700",689,136,507,46,
,FAIRMOUNT,"2,817",996,730,225,41,
,FALLING WATER A,508,153,119,28,6,
,STATISTICS,,,,
,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General
FALLING WATER B,984,398,311,75,12
FLAT TOP MOUNTAIN,496,220,191,23,6
GANNS,"3,650","1,332",977,299,56
GLENWOOD,"1,816",522,101,412,9
HARRISON,"3,475","1,033",595,402,36
HARRISON BAY,"4,171","1,175",891,254,30
HIXSON,"2,049",668,356,293,19
HUNTER,"4,112","1,079",754,294,31
HURRICANE CREEK,"4,493","1,433",911,485,37
KINGSPOINT,"1,822",512,105,389,18
LAKE HILLS,"1,468",419,74,338,7
LAKESITE,"1,372",404,306,77,21
LOOKOUT MOUNTAIN,"1,528",617,498,107,12
LOOKOUT VALLEY,"4,232","1,658","1,208",373,77
LUPTON CITY,"2,608",832,338,459,35
MEADOWVIEW,"3,041",772,627,129,16
MIDDLE VALLEY,"2,052",565,398,155,12
MISSIONARY RIDGE,"1,427",574,243,298,33
MOUNTAIN CREEK A,"3,557","1,251",652,558,41
MOUNTAIN CREEK B,"1,388",415,199,208,8
MOUNTAIN CREEK C,184,40,14,25,1
MOWBRAY A,515,160,127,32,1
MOWBRAY B,679,254,222,32,0
MURRAY HILLS,"1,741",511,159,324,28
NORTH CHATTANOOGA A,"1,734",529,155,350,24
NORTH CHATTANOOGA B,"1,159",280,104,159,17
NORTHGATE,"2,942",854,490,322,42
NORTHSHORE,"3,087","1,308",429,798,81
NORTHWOODS,"3,617","1,187",606,538,43
OOLTEWAH,"4,939","1,103",798,278,27
OOLTEWAH GEORGETOWN,"2,429",605,485,105,15
OOLTEWAH RINGGOLD,"5,265","1,348",924,374,50
,STATISTICS,,,,
,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General
PLEASANT GROVE A,"3,305","1,073",734,300,39
PLEASANT GROVE B,256,84,47,36,1
POSSUM CREEK,"3,406","1,150",935,194,21
RED BANK A,"3,123","1,040",356,621,63
RED BANK B,"2,405",895,458,376,61
RED BANK C,"1,850",710,335,358,17
RIDGEDALE,"2,127",777,98,624,55
RIDGESIDE,360,189,91,90,8
RIVERVIEW,"1,911",737,260,436,41
SALE CREEK,"2,329",718,591,115,12
SAVANNAH BAY,"3,177",855,665,173,17
SEQUOYAH,"2,590",741,593,129,19
SIGNAL MOUNTAIN A,"2,316",962,647,276,39
SIGNAL MOUNTAIN B,"4,298","1,670","1,137",484,49
SILVERDALE,"1,410",322,164,156,2
SODDY DAISY A,"3,095",956,746,175,35
SODDY DAISY B,"2,913",822,621,180,21
SODDY DAISY C,"1,581",576,468,91,17
ST ELMO,"2,578","1,047",260,740,47
STUART HEIGHTS,"3,066","1,169",529,605,35
SUMMIT,"3,290",760,385,352,23
TYNER,"2,253",636,289,337,10
VALLEYBROOK,"4,483","1,685","1,147",489,49
WALDEN,"1,596",643,483,141,19
WESTVIEW A,"1,568",423,264,142,17
WESTVIEW B,"2,991",868,550,286,32
WOLFTEVER,"4,474","1,187",682,478,27
WOODMORE,"1,615",545,28,506,11
Collegedale Property Rights,0,0,0,0,0
Totals,"218,767","65,893","36,190","27,492","2,211"
,REP Governor,,,,REP United States Senate,,"REP United States House of Representatives, District 3",,"REP Tennessee Senate, District 11 District 11",
,VOTE FOR 1,,,,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,
,92 of 93 Precincts Reporting,,,,92 of 93 Precincts Reporting,,92 of 93 Precincts Reporting,,57 of 57 Precincts Reporting,
,Marsha Blackburn,Monty Fritts,John Rose,Write-in Totals,Bill Hagerty,Write-in Totals,Chuck Fleischmann,Write-in Totals,Bo Watson,Write-in Totals
AIRPORT A,11,5,3,1,20,0,19,1,20,0
AIRPORT B,63,26,30,1,112,2,109,3,,
ALTON PARK,13,6,8,0,24,2,23,2,,
APISON A,185,86,118,5,364,5,363,8,,
APISON B,178,72,113,4,332,8,325,17,,
AVONDALE,1,4,3,1,8,1,8,1,8,1
BIRCHWOOD,248,117,129,0,465,4,458,4,463,2
BONNY OAKS,45,15,23,1,78,2,77,2,76,2
BRAINERD,100,42,77,4,197,6,192,11,,
BRAINERD HILLS,66,45,40,4,141,3,138,4,,
BUSHTOWN,16,13,10,0,32,4,31,4,32,3
COLLEGEDALE A,105,40,59,2,190,4,182,7,184,5
COLLEGEDALE B,127,31,99,1,241,0,232,6,,
CONCORD A,71,35,44,3,140,6,136,5,,
CONCORD B,162,51,136,5,321,8,314,14,,
COURTHOUSE,20,6,23,0,43,0,39,2,,
DALEWOOD,11,5,14,0,23,2,23,3,23,1
DALLAS,388,184,181,1,712,8,690,19,711,8
DOWNTOWN,65,20,61,1,127,4,122,6,,
DUPONT,231,97,190,10,461,22,451,25,467,16
EAST BRAINERD A,253,78,130,8,421,17,415,19,,
EAST BRAINERD B,360,87,224,2,621,11,604,22,,
EAST CHATTANOOGA,13,6,13,0,29,1,27,1,29,1
EAST LAKE,51,8,18,1,74,1,74,0,,
EAST RIDGE A,241,71,177,4,449,11,440,14,,
EAST RIDGE B,230,79,185,7,465,12,445,30,,
EAST RIDGE C,97,29,53,2,173,0,168,1,,
,REP Governor,,,,REP United States Senate,,"REP United States House of Representatives, District 3",,"REP Tennessee Senate, District 11 District 11",
,VOTE FOR 1,,,,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,
,92 of 93 Precincts Reporting,,,,92 of 93 Precincts Reporting,,92 of 93 Precincts Reporting,,57 of 57 Precincts Reporting,
,Marsha Blackburn,Monty Fritts,John Rose,Write-in Totals,Bill Hagerty,Write-in Totals,Chuck Fleischmann,Write-in Totals,Bo Watson,Write-in Totals
EAST RIDGE D,197,73,134,2,370,11,366,16,,
EASTGATE,38,16,32,2,77,5,71,7,,
EASTSIDE,61,25,46,2,119,7,109,12,,
FAIRMOUNT,320,159,230,9,640,17,616,33,638,17
FALLING WATER A,47,23,49,0,108,2,104,3,106,3
FALLING WATER B,134,73,101,3,282,5,274,12,284,4
FLAT TOP MOUNTAIN,67,50,72,2,171,1,169,1,173,0
GANNS,470,189,298,14,907,27,857,51,897,18
GLENWOOD,40,23,33,2,75,7,75,7,75,8
HARRISON,281,97,208,3,546,9,529,16,539,9
HARRISON BAY,453,182,241,7,842,10,830,15,840,7
HIXSON,165,60,124,3,327,6,312,18,326,2
HUNTER,342,160,241,3,700,13,680,24,695,13
HURRICANE CREEK,454,148,301,4,834,19,824,23,,
KINGSPOINT,43,26,35,0,96,2,94,4,96,2
LAKE HILLS,23,21,27,1,67,1,69,1,65,2
LAKESITE,144,48,110,2,285,9,279,9,288,7
LOOKOUT MOUNTAIN,203,47,237,3,421,21,409,30,,
LOOKOUT VALLEY,611,192,385,7,"1,098",20,"1,080",34,,
LUPTON CITY,159,81,88,3,293,12,292,17,294,14
MEADOWVIEW,342,117,159,4,600,5,586,7,593,2
MIDDLE VALLEY,218,67,108,4,372,5,363,10,372,7
MISSIONARY RIDGE,99,28,114,2,202,11,195,16,,
MOUNTAIN CREEK A,260,105,267,15,566,15,556,22,574,12
MOUNTAIN CREEK B,92,35,67,3,169,6,163,11,162,5
MOUNTAIN CREEK C,7,1,6,0,11,2,11,2,,
MOWBRAY A,64,27,28,2,119,1,113,2,117,2
,REP Governor,,,,REP United States Senate,,"REP United States House of Representatives, District 3",,"REP Tennessee Senate, District 11 District 11",
,VOTE FOR 1,,,,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,
,92 of 93 Precincts Reporting,,,,92 of 93 Precincts Reporting,,92 of 93 Precincts Reporting,,57 of 57 Precincts Reporting,
,Marsha Blackburn,Monty Fritts,John Rose,Write-in Totals,Bill Hagerty,Write-in Totals,Chuck Fleischmann,Write-in Totals,Bo Watson,Write-in Totals
MOWBRAY B,106,51,63,1,208,1,195,5,210,3
MURRAY HILLS,62,35,60,2,143,2,138,4,138,2
NORTH CHATTANOOGA A,79,18,55,2,134,4,130,10,132,4
NORTH CHATTANOOGA B,49,21,32,2,89,6,84,7,,
NORTHGATE,231,76,170,4,431,9,417,17,433,8
NORTHSHORE,175,54,191,6,363,19,338,29,357,19
